keyword,last_position,last_rank_absolute,search_volume,etv_when_ranking,keyword_difficulty,cpc,search_intent,lost_url,url_type,is_brand,last_seen
monte trundle bed,2,3,40,6.5,0,1.4500000476837158,transactional,https://wassersfurniture.com/monte-design-dorma-trundle-bed.html,legacy .html,False,2026-04-14 04:43:02 +00:00
sonos play 3 dimensions,2,4,40,6.5,0,,transactional,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:52 +00:00
sonos play:3 dimensions,2,4,40,6.5,0,,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:49 +00:00
pablo lana lamp,2,2,30,6.5,0,0.029999999329447746,transactional,https://wassersfurniture.com/pablo-lana.html,legacy .html,False,2026-03-28 13:01:38 +00:00
vintage sonneman floor lamp,2,3,30,6.5,0,0.009999999776482582,transactional,https://wassersfurniture.com/vintage-sonneman-3033-floor-lamp.html,legacy .html,False,2026-04-13 11:41:51 +00:00
riverstone coffee table,4,7,110,5.9,0,1.75,transactional,https://wassersfurniture.com/phillips-collection-river-stone-coffee-table-gold-leaf.html,legacy .html,False,2026-04-06 06:07:41 +00:00
mattress for babyletto mini crib,9,12,390,5.8,0,1.0199999809265137,transactional,https://wassersfurniture.com/crib-mini-mattress-babyletto-coco-core-non-toxic-mini-mattress-with-water-repellent-smart-cover-m5348c.html,legacy .html,False,2026-04-21 23:41:05 +00:00
monte rocker,6,8,170,5.7,0,1.149999976158142,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-04-03 23:02:49 +00:00
american signature recliners,10,17,480,5.4,0,2.069999933242798,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-recliner-by-american-leather.html,legacy .html,False,2026-03-31 17:45:57 +00:00
kudu horn lights,8,12,260,5.1,0,0.7099999785423279,transactional,https://wassersfurniture.com/kudu-horn-double-twist-standing-lamp-in-stock.html,legacy .html,False,2026-04-02 21:06:35 +00:00
american leather simon recliner,3,3,50,4.9,0,1.0399999618530273,transactional,https://wassersfurniture.com/american-leather-simon-re-invented-recliner-blue-high-performance-fabric-in-stock.html,legacy .html,False,2026-04-12 17:29:23 +00:00
creative elegance,3,6,50,4.9,0,,informational,https://wassersfurniture.com/shop-by-brand/a-c/creative-elegance.html,legacy .html,False,2026-04-12 04:45:26 +00:00
design institute of america furniture,3,4,50,4.9,0,1.8899999856948853,navigational,https://wassersfurniture.com/shop-by-brand/d-g/dia.html,legacy .html,False,2026-03-26 00:05:31 +00:00
leather bedding,3,8,50,4.9,0,1.0499999523162842,transactional,https://wassersfurniture.com/american-leather-comfort-sleeper-gotcha-covered-white-sheet-set-sea-salt.html,legacy .html,False,2026-04-11 07:14:30 +00:00
tempur cloud breeze mattress,3,3,50,4.9,1,5.119999885559082,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-07 16:46:25 +00:00
tempur cloud luxe breeze mattress,3,5,50,4.9,0,2.8600001335144043,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-10 09:38:40 +00:00
tempur-cloud breeze mattress,3,3,50,4.9,1,5.119999885559082,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-03-23 21:05:08 +00:00
