keyword,last_position,last_rank_absolute,search_volume,etv_when_ranking,keyword_difficulty,cpc,search_intent,lost_url,url_type,is_brand,last_seen
alligator skin chairs,2,6,50,8.1,0,0.7099999785423279,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,legacy .html,False,2026-04-12 17:46:39 +00:00
dia furniture,2,2,50,8.1,0,0.20000000298023224,transactional,https://wassersfurniture.com/shop-by-brand/d-g/dia.html,legacy .html,False,2026-04-12 02:47:56 +00:00
joya rocker by monte,2,2,50,8.1,0,1.1299999952316284,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-03-25 21:33:43 +00:00
joya rocker monte,2,2,50,8.1,0,1.1299999952316284,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-04-11 09:12:32 +00:00
luna low back chair,2,2,50,8.1,0,0.5799999833106995,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-03-08 12:09:29 +00:00
monte joya rocker,2,3,50,8.1,0,1.1299999952316284,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-04-11 02:15:38 +00:00
tub sofa,2,6,50,8.1,0,3.4000000953674316,transactional,https://wassersfurniture.com/eilersen-tub-sofa-tunnel-36-fabric-free-same-day-pickup-next-day-quickship.html,legacy .html,False,2026-03-08 06:31:54 +00:00
sonos connect amp specifications,2,4,40,8.1,0,6.210000038146973,navigational,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-03-26 19:02:46 +00:00
dining room glass top table,97,121,3600,7.6,0,1.7100000381469727,transactional,https://wassersfurniture.com/furniture/diningroom/glass-tops.html,legacy .html,False,2026-01-27 21:45:03 +00:00
play:3 sonos,45,58,2900,7.6,0,0.3499999940395355,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-03-13 13:11:31 +00:00
sonos play 3 speaker,41,56,2900,7.6,0,0.3499999940395355,transactional,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-03-13 12:31:48 +00:00
leather low back chair,3,3,70,6.8,0,2.2699999809265137,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-04-08 12:05:11 +00:00
lucite nesting tables,3,6,70,6.8,0,3.3299999237060547,transactional,https://wassersfurniture.com/kac-lucite-nesting-tables-set-of-3-same-day-pickup-next-day-quickship.html,legacy .html,False,2026-05-07 07:44:34 +00:00
colonial buffet,7,9,210,6.7,0,,informational,https://wassersfurniture.com/vintage-spanish-colonial-buffet.html,legacy .html,False,2026-04-29 15:45:30 +00:00
luna chair odd knutsen,5,6,140,6.6,0,0.38999998569488525,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2025-09-09 12:38:50 +00:00
crocodile leather chair,2,6,40,6.5,0,0.5699999928474426,transactional,https://wassersfurniture.com/dining-chair-made-in-italy-in-stock-croc-embossed-leather.html,legacy .html,False,2026-02-26 01:43:10 +00:00
monte trundle bed,2,3,40,6.5,0,1.4500000476837158,transactional,https://wassersfurniture.com/monte-design-dorma-trundle-bed.html,legacy .html,False,2026-04-14 04:43:02 +00:00
sonos play 3 dimensions,2,4,40,6.5,0,,transactional,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:52 +00:00
sonos play:3 dimensions,2,4,40,6.5,0,,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:49 +00:00
pablo lana lamp,2,2,30,6.5,0,0.029999999329447746,transactional,https://wassersfurniture.com/pablo-lana.html,legacy .html,False,2026-03-28 13:01:38 +00:00
vintage sonneman floor lamp,2,3,30,6.5,0,0.009999999776482582,transactional,https://wassersfurniture.com/vintage-sonneman-3033-floor-lamp.html,legacy .html,False,2026-04-13 11:41:51 +00:00
sonos connect amp,27,37,2900,6.1,0,0.7900000214576721,commercial,https://wassersfurniture.com/sonos-connect-amp.html,legacy .html,False,2026-04-19 04:08:00 +00:00
trunk as a coffee table,39,55,2400,6.1,0,1.1800000667572021,informational,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-03-29 16:51:12 +00:00
trunk coffee table,45,64,2400,6.1,0,1.1800000667572021,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-03-13 18:32:07 +00:00
riverstone coffee table,4,7,110,5.9,0,1.75,transactional,https://wassersfurniture.com/phillips-collection-river-stone-coffee-table-gold-leaf.html,legacy .html,False,2026-04-06 06:07:41 +00:00
mattress for babyletto mini crib,9,12,390,5.8,0,1.0199999809265137,transactional,https://wassersfurniture.com/crib-mini-mattress-babyletto-coco-core-non-toxic-mini-mattress-with-water-repellent-smart-cover-m5348c.html,legacy .html,False,2026-04-21 23:41:05 +00:00
monte rocker,6,8,170,5.7,0,1.149999976158142,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-04-03 23:02:49 +00:00
american signature recliners,10,17,480,5.4,0,2.069999933242798,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-recliner-by-american-leather.html,legacy .html,False,2026-03-31 17:45:57 +00:00
wood bead chandelier,15,21,1000,5.1,0,2.069999933242798,transactional,https://wassersfurniture.com/little-wasser-s-boho-wood-bead-chandelier.html,legacy .html,False,2026-03-15 18:03:25 +00:00
kudu horn lights,8,12,260,5.1,0,0.7099999785423279,transactional,https://wassersfurniture.com/kudu-horn-double-twist-standing-lamp-in-stock.html,legacy .html,False,2026-04-02 21:06:35 +00:00
american leather couch,25,34,2400,5.0,3,1.9300000667572021,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,legacy .html,False,2026-03-29 23:26:05 +00:00
american leather sofa,28,42,2400,5.0,10,1.9300000667572021,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,legacy .html,False,2026-03-14 11:19:46 +00:00
american leather sofas,39,54,2400,5.0,1,1.9300000667572021,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/sectionals.html?p=4,legacy category,False,2026-04-19 10:47:00 +00:00
american leather simon recliner,3,3,50,4.9,0,1.0399999618530273,transactional,https://wassersfurniture.com/american-leather-simon-re-invented-recliner-blue-high-performance-fabric-in-stock.html,legacy .html,False,2026-04-12 17:29:23 +00:00
creative elegance,3,6,50,4.9,0,,informational,https://wassersfurniture.com/shop-by-brand/a-c/creative-elegance.html,legacy .html,False,2026-04-12 04:45:26 +00:00
design institute of america furniture,3,4,50,4.9,0,1.8899999856948853,navigational,https://wassersfurniture.com/shop-by-brand/d-g/dia.html,legacy .html,False,2026-03-26 00:05:31 +00:00
leather bedding,3,8,50,4.9,0,1.0499999523162842,transactional,https://wassersfurniture.com/american-leather-comfort-sleeper-gotcha-covered-white-sheet-set-sea-salt.html,legacy .html,False,2026-04-11 07:14:30 +00:00
tempur cloud breeze mattress,3,3,50,4.9,1,5.119999885559082,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-07 16:46:25 +00:00
tempur cloud luxe breeze mattress,3,5,50,4.9,0,2.8600001335144043,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-10 09:38:40 +00:00
tempur-cloud breeze mattress,3,3,50,4.9,1,5.119999885559082,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-03-23 21:05:08 +00:00
tempur-cloud luxe breeze mattress,3,4,50,4.9,0,2.8600001335144043,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-10 09:38:51 +00:00
cloud luxe breeze,2,3,30,4.9,0,2.4100000858306885,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-15 07:25:15 +00:00
luna chair by odd knutsen,2,4,30,4.9,0,0.3799999952316284,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-02-06 23:40:54 +00:00
rossetto furniture,2,2,30,4.9,0,,navigational,https://wassersfurniture.com/shop-by-brand/r-z/rossetto-usa.html,legacy .html,False,2026-04-17 10:03:11 +00:00
rossetto furniture italy,2,2,30,4.9,0,,navigational,https://wassersfurniture.com/shop-by-brand/r-z/rossetto-usa.html,legacy .html,False,2026-04-17 10:03:25 +00:00
steamer trunk table,2,3,30,4.9,0,0.8500000238418579,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-04-17 03:59:50 +00:00
african print chair,4,7,70,4.6,0,0.9300000071525574,transactional,https://wassersfurniture.com/swivel-chair-custom-african-print-fabric.html,legacy .html,False,2026-04-09 22:00:09 +00:00
ferguson copeland armoire,4,5,50,4.6,0,,navigational,https://wassersfurniture.com/fergusen-copeland-eglomise-armoire.html,legacy .html,False,2026-04-09 01:25:40 +00:00
sonos play:1 specifications,4,4,50,4.6,0,,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-23 22:39:09 +00:00
play 1 speaker,11,16,590,4.4,0,0.6499999761581421,transactional,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-18 01:50:49 +00:00
couture jardin,17,22,1000,4.3,0,6.400000095367432,informational,https://wassersfurniture.com/shop-by-brand/a-c/couture-jardin.html,legacy .html,False,2026-03-30 17:31:39 +00:00
furniture stores in hallandale florida,5,9,90,4.2,0,2.799999952316284,commercial,https://wassersfurniture.com/,homepage,False,2026-05-03 14:05:36 +00:00
american leather comfort sleeper sofa,28,42,2400,4.0,6,3.380000114440918,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-sleeper-by-american-leather.html,legacy .html,False,2026-03-30 03:29:34 +00:00
acrylic book shelf,27,31,1900,4.0,0,1.2799999713897705,transactional,https://wassersfurniture.com/dapper-navy-baby-acrylic-bookshelves.html,legacy .html,False,2025-07-14 07:33:43 +00:00
american leather furniture,45,59,1900,4.0,0,1.3899999856948853,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,legacy .html,False,2026-03-14 20:59:10 +00:00
thayer coggin,54,71,1900,4.0,0,3.440000057220459,informational,https://wassersfurniture.com/shop-by-brand/r-z/thayer-coggin.html?p=2,legacy category,False,2026-03-14 13:00:47 +00:00
thayer coggins,44,51,1900,4.0,0,3.440000057220459,informational,https://wassersfurniture.com/thayer-coggin-design-classic-825-sectional-sofa-milo-baughman.html,legacy .html,False,2026-03-14 13:01:44 +00:00
executive lounge chair,3,5,40,3.9,10,1.7300000190734863,transactional,https://wassersfurniture.com/furniture/homes-offices/executive-seating.html,legacy .html,False,2026-03-27 05:27:13 +00:00
gamma pretty chair,3,5,40,3.9,0,0.7300000190734863,transactional,https://wassersfurniture.com/gamma-pretty-chair.html,legacy .html,False,2026-03-11 06:12:13 +00:00
leather luna chair,3,4,40,3.9,0,0.05999999865889549,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-04-14 10:18:23 +00:00
luna leather chair,3,6,40,3.9,0,0.05999999865889549,transactional,https://wassersfurniture.com/luna-low-back-chair.html,legacy .html,False,2026-04-14 08:47:28 +00:00
monte white rockwell bassinet,3,5,40,3.9,0,1.2000000476837158,transactional,https://wassersfurniture.com/bassinet-monte-design-rockwell-bassinet.html,legacy .html,False,2026-03-27 04:18:39 +00:00
sonos 3 dimensions,3,5,40,3.9,0,,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:41 +00:00
sonos :3 dimensions,3,5,40,3.9,0,,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-04-13 14:38:34 +00:00
stone international dining table,3,3,40,3.9,0,2.700000047683716,transactional,https://wassersfurniture.com/shop-by-brand/r-z/stone-international.html,legacy .html,False,2026-04-17 03:42:40 +00:00
stone international dining tables,3,3,40,3.9,0,2.700000047683716,transactional,https://wassersfurniture.com/shop-by-brand/r-z/stone-international.html,legacy .html,False,2026-04-17 03:42:15 +00:00
joya rocker,3,4,30,3.9,0,1.5,informational,https://wassersfurniture.com/chair-monte-design-joya-nursery-rocking-chair.html,legacy .html,False,2026-03-27 02:29:40 +00:00
milo baughman thayer coggin sectional,3,4,30,3.9,0,0.1899999976158142,navigational,https://wassersfurniture.com/thayer-coggin-design-classic-825-sectional-sofa-milo-baughman.html,legacy .html,False,2026-04-18 00:44:27 +00:00
neutral nursery rug,21,32,1600,3.7,0,1.8299999237060547,transactional,https://wassersfurniture.com/baby-neutral-room-rug.html,legacy .html,False,2026-03-15 01:47:57 +00:00
54 inch round glass table top,6,9,110,3.7,0,2.7100000381469727,transactional,https://wassersfurniture.com/glass-table-top-54-round-quickship.html,legacy .html,False,2026-03-22 13:38:13 +00:00
newport cottages crib,6,7,110,3.7,0,2.9600000381469727,navigational,https://wassersfurniture.com/newport-cottages-casey-crib.html,legacy .html,False,2026-05-03 04:17:18 +00:00
lafer recliners,7,10,140,3.6,0,1.2999999523162842,transactional,http://www.wassersfurniture.com/lafer-leather-selection,other,False,2026-01-25 04:28:32 +00:00
sonos sub dimensions,11,16,390,3.5,0,1.350000023841858,informational,https://wassersfurniture.com/sonos-sub.html,legacy .html,False,2026-04-22 16:08:33 +00:00
american leather sofa bed,33,51,1600,3.4,11,2.6700000762939453,transactional,https://wassersfurniture.com/american-leather-breckin-comfort-sleeper-chaise.html,legacy .html,False,2026-03-15 07:25:17 +00:00
monte design furniture,42,45,1600,3.4,0,1.8899999856948853,navigational,https://wassersfurniture.com/shop-by-brand/l-p/monte-design.html,legacy .html,False,2025-09-05 15:45:38 +00:00
monte furniture,33,47,1600,3.4,0,1.8899999856948853,navigational,https://wassersfurniture.com/shop-by-brand/l-p/monte-design.html,legacy .html,False,2026-03-15 02:06:05 +00:00
phillips collection furniture,47,67,1600,3.4,6,2.5999999046325684,navigational,https://wassersfurniture.com/shop-by-brand/l-p/phillips-collection.html,legacy .html,False,2026-03-14 14:50:39 +00:00
mid century leather armchair,78,107,1300,3.4,0,2.75,transactional,https://wassersfurniture.com/furniture/mid-century.html,legacy .html,False,2026-03-03 19:09:03 +00:00
monte dorma bed,4,7,50,3.3,0,3.569999933242798,transactional,https://wassersfurniture.com/monte-design-dorma-twin-bed-with-trundle.html,legacy .html,False,2026-04-11 02:15:43 +00:00
shaw bed,4,7,50,3.3,0,1.1800000667572021,transactional,https://wassersfurniture.com/american-leather-shaw-bed-in-stock-on-display-quickship.html,legacy .html,False,2026-03-26 07:50:28 +00:00
white steamer trunk coffee table,4,8,50,3.3,0,1.649999976158142,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2025-07-26 11:56:30 +00:00
sonos play:3 specifications,4,5,40,3.3,0,0.7200000286102295,informational,https://wassersfurniture.com/sonos-play-3.html,legacy .html,False,2026-03-25 19:45:22 +00:00
nursery room ideas neutral gender,22,31,1300,2.9,0,0.7099999785423279,informational,https://wassersfurniture.com/a-gender-neutral-nursery-room.html,legacy .html,False,2026-01-29 00:11:59 +00:00
ming coffee table vintage,3,5,30,2.9,0,0.23000000417232513,transactional,https://wassersfurniture.com/vintage-ming-coffee-table.html,legacy .html,False,2026-04-18 02:28:57 +00:00
newport cottage dresser,3,4,30,2.9,0,2.2699999809265137,navigational,https://wassersfurniture.com/newport-cottages-astoria-dresser.html,legacy .html,False,2026-04-17 21:38:02 +00:00
newport cottages dresser,3,3,30,2.9,0,2.2699999809265137,navigational,https://wassersfurniture.com/newport-cottages-astoria-dresser.html,legacy .html,False,2026-04-17 21:41:30 +00:00
pablo light bench,3,3,30,2.9,0,0.33000001311302185,transactional,https://wassersfurniture.com/pablo-light-bench.html,legacy .html,False,2026-03-28 12:55:44 +00:00
american leather parker sofa,7,10,110,2.8,0,0.7900000214576721,transactional,https://wassersfurniture.com/american-leather-parker-leather-sofa-showroom-sample-sale.html,legacy .html,False,2026-05-04 04:49:11 +00:00
american furniture recliners,30,48,1300,2.7,0,0.8399999737739563,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-recliner-by-american-leather.html,legacy .html,False,2026-04-20 00:06:14 +00:00
pablo designs lamps,61,81,1300,2.7,0,1.9800000190734863,navigational,https://wassersfurniture.com/shop-by-brand/l-p/pablo-designs.html,legacy .html,False,2026-03-15 11:20:56 +00:00
pablo designs lighting,61,80,1300,2.7,3,1.9800000190734863,navigational,https://wassersfurniture.com/shop-by-brand/l-p/pablo-designs.html,legacy .html,False,2026-03-30 10:11:37 +00:00
pablo lighting,69,86,1300,2.7,0,1.9800000190734863,navigational,https://wassersfurniture.com/shop-by-brand/l-p/pablo-designs.html,legacy .html,False,2026-03-15 11:21:04 +00:00
steamer trunk side table,4,6,40,2.6,0,0.3499999940395355,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-04-13 14:07:59 +00:00
missoni pouf sale,4,6,30,2.6,0,1.3700000047683716,transactional,https://wassersfurniture.com/missoni-home-patch-cylinder-ottoman-pouf-16-x-12-free-pickup-free-shipping.html,legacy .html,False,2026-04-14 05:10:53 +00:00
american leather comfort recliner,6,11,70,2.4,0,1.409999966621399,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-recliner-by-american-leather.html,legacy .html,False,2026-04-09 21:54:49 +00:00
sonos play:1 specs,6,8,50,2.4,0,,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-03-23 22:39:39 +00:00
babyletto mini crib mattress,13,17,390,2.3,0,1.0199999809265137,transactional,https://wassersfurniture.com/crib-mini-mattress-babyletto-coco-core-non-toxic-mini-mattress-with-water-repellent-smart-cover-m5348c.html,legacy .html,False,2025-12-28 16:40:07 +00:00
oriental weavers rug pad,5,6,50,2.3,0,2.619999885559082,transactional,https://wassersfurniture.com/oriental-weavers-5-x-8-premiere-grip-all-in-one-rug-pad-748679210060.html,legacy .html,False,2026-04-10 22:29:52 +00:00
armen living,25,35,1000,2.1,9,3.0199999809265137,informational,https://wassersfurniture.com/shop-by-brand/a-c/armen-living.html,legacy .html,False,2026-03-16 04:27:58 +00:00
beaded wood chandelier,62,67,1000,2.1,0,2.069999933242798,transactional,https://wassersfurniture.com/little-wasser-s-boho-wood-bead-chandelier.html,legacy .html,False,2025-10-23 07:29:18 +00:00
chest coffee table,34,48,1000,2.1,0,1.25,transactional,https://wassersfurniture.com/steamer-trunk-coffee-table-on-display-quickship.html,legacy .html,False,2026-03-16 03:11:53 +00:00
large leather ottoman,50,67,1000,2.1,0,2.7799999713897705,transactional,https://wassersfurniture.com/genuine-leather-ottomans-in-stock.html,legacy .html,False,2026-03-15 23:21:15 +00:00
