keyword,search_volume,expected_traffic_pos3,cpc,keyword_difficulty,competitors_ranking,competitor_list,sc_current_position,theme,sc_product_line,recommended_action,target_page_type,target_handle_or_url,target_page_title
sheets,2240000,224000,6.0,78,1,expansion,,sheets,"— (category page, all fabrics)",optimize existing,collection,/collections/sheets,Sheets
twin beds bedding,201000,20100,1.41,,2,"expansion,potterybarn.com",,twin / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/twin-bedding,Twin Bedding
twin bedding,201000,20100,1.41,,2,"expansion,potterybarn.com",,twin / bedding,"— (category page, all fabrics)",build new collection,collection,/collections/twin-bedding,Twin Bedding
blankets,201000,20100,1.73,2,1,parachutehome.com,,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
blanket,201000,20100,1.73,9,2,"expansion,parachutehome.com",,blanket,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets,Blankets
bedding twins,201000,20100,1.41,,1,expansion,,bedding,"— (category page, all fabrics)",optimize existing,collection,/collections/bedding,Bedding
duvet covers,165000,16500,2.48,3,3,"brooklinen.com,parachutehome.com,pigletinbed.com",,duvet cover,"— (category page, all fabrics)",optimize existing,collection,/collections/duvet-covers,Duvet Covers
bedding sizes,165000,16500,0.67,9,1,expansion,,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
duvet and cover,165000,16500,2.48,,3,"brooklinen.com,parachutehome.com,pigletinbed.com",,duvet,"— (category page, all fabrics)",optimize existing,collection,/collections/comforters-duvets,Comforters + Duvets
quilt,165000,16500,1.3,11,3,"brooklinen.com,parachutehome.com,potterybarn.com",,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
quilts,165000,16500,1.3,,1,brooklinen.com,,quilt,"— (category page, all fabrics)",optimize existing,collection,/collections/blankets-quilts,Blankets + Quilts
pillow,165000,16500,2.51,30,2,"expansion,tempurpedic.com",,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
pillows,165000,16500,2.51,3,1,tempurpedic.com,,pillow,"— (category page, all fabrics)",optimize existing,collection,/collections/pillows,Pillows
bedding measurements,165000,16500,0.67,,3,"expansion,parachutehome.com,pigletinbed.com",,bedding size guide,"— (category page, all fabrics)",build guide/blog page,guide/blog,/pages/bedding-size-guide,Bedding Size Guide
