domain,category,keywords_in_space,etv_in_space,traffic_share_pct,avg_position,visibility
sininlinen.com,brand/retail,81,11485,0.06,22.8,22.9
queenrose.com,brand/retail,6,11471,0.06,3.3,4.6
packhacker.com,brand/retail,23,11404,0.06,5.5,15.1
suzyquilts.com,brand/retail,58,11351,0.06,16.4,13.7
southshorefinelinens.com,brand/retail,100,11317,0.06,25.8,15.7
rugs.com,brand/retail,23,11294,0.06,7.3,14.2
menique.com,brand/retail,89,11137,0.06,21.4,19.0
stitchberryblog.com,brand/retail,9,10973,0.06,8.6,4.5
imaginethatnmore.com,brand/retail,3,10928,0.06,33.7,0.8
earthbreeze.com,brand/retail,3,10914,0.06,1.0,3.0
lauralhome.com,brand/retail,15,10819,0.06,16.8,6.4
health.com,brand/retail,50,10817,0.06,21.6,9.6
comainducer.com,brand/retail,43,10809,0.06,11.6,22.0
peachskinsheets.com,brand/retail,45,10747,0.06,19.8,13.3
cuddledown.com,brand/retail,100,10725,0.06,22.2,17.2
aprilcornell.com,brand/retail,6,10715,0.06,4.7,3.9
blockshoptextiles.com,brand/retail,2,10707,0.06,7.0,0.9
nomadix.co,brand/retail,7,10630,0.06,9.1,4.2
natlallergy.com,brand/retail,7,10547,0.05,4.3,4.8
sleepadvisor.org,brand/retail,104,10539,0.05,25.9,12.0
magnushomeproducts.com,brand/retail,20,10456,0.05,21.2,3.1
spanishdict.com,brand/retail,3,10438,0.05,1.7,2.8
cosyhousecollection.com,brand/retail,35,10424,0.05,12.7,12.5
bananarepublic.gap.com,brand/retail,172,10327,0.05,16.1,43.1
missjessies.com,brand/retail,3,10306,0.05,1.0,3.0
comfrt.com,brand/retail,7,10304,0.05,15.3,4.0
lovecrafts.com,brand/retail,61,10262,0.05,22.5,10.8
vacilandostudios.com,brand/retail,1,10062,0.05,1.0,1.0
quartersheetspizza.com,brand/retail,1,10062,0.05,1.0,1.0
hgtv.com,brand/retail,102,10011,0.05,36.2,4.8
roughlinen.com,brand/retail,94,9836,0.05,26.6,16.7
projectrepat.com,brand/retail,4,9820,0.05,2.0,3.6
getnuzzle.com,brand/retail,1,9801,0.05,2.0,0.9
pepper-home.com,brand/retail,12,9673,0.05,13.3,4.7
thequiltshow.com,brand/retail,26,9633,0.05,12.1,8.8
getapp.com,brand/retail,1,9632,0.05,16.0,0.1
sleepsutera.com,brand/retail,14,9601,0.05,9.9,5.6
hiendaccents.com,brand/retail,67,9573,0.05,18.4,21.9
pillowcube.com,brand/retail,43,9546,0.05,21.7,7.8
husbandpillow.com,brand/retail,93,9518,0.05,23.4,17.8
shop.tiktok.com,brand/retail,123,9506,0.05,11.2,36.6
thecomfy.com,brand/retail,13,9498,0.05,4.2,9.1
frette.com,brand/retail,76,9491,0.05,18.8,16.8
samsclub.com,brand/retail,123,9479,0.05,20.9,15.1
officedepot.com,brand/retail,72,9359,0.05,21.8,9.2
us.gethommey.com,brand/retail,18,9338,0.05,23.6,4.1
coreproducts.com,brand/retail,86,9315,0.05,23.6,14.2
shop.berninausa.com,brand/retail,3,9294,0.05,1.7,2.8
annsilvers.com,brand/retail,5,9276,0.05,11.8,2.4
nestbedding.com,brand/retail,50,9243,0.05,24.3,9.6
karleys.com,brand/retail,6,9242,0.05,1.0,6.0
hermes.com,brand/retail,6,9199,0.05,20.8,3.0
hawesandcurtis.com,brand/retail,59,9135,0.05,16.4,22.4
minkydesigns.com,brand/retail,7,9111,0.05,13.3,2.4
batesmillstore.com,brand/retail,22,9105,0.05,11.1,12.2
scissortailquilting.com,brand/retail,21,9070,0.05,10.7,9.7
americanblossomlinens.com,brand/retail,60,9061,0.05,27.3,5.7
hacknerhome.com,brand/retail,27,8963,0.05,16.8,10.5
rest.com,brand/retail,31,8934,0.05,20.9,10.4
brentwoodhome.com,brand/retail,16,8892,0.05,11.6,7.2
delarahome.com,brand/retail,66,8827,0.05,22.8,8.4
next.us,brand/retail,187,8759,0.05,26.2,15.4
rejuvenation.com,brand/retail,57,8733,0.05,18.6,16.3
bbjlatavola.com,brand/retail,10,8662,0.04,2.6,8.4
menards.com,brand/retail,124,8658,0.04,27.3,10.6
jozmakesquilts.com,brand/retail,14,8655,0.04,2.8,11.5
word.cloud.microsoft,brand/retail,3,8556,0.04,1.3,2.9
saffronmarigold.com,brand/retail,35,8528,0.04,18.2,12.1
untuckit.com,brand/retail,48,8486,0.04,16.6,15.7
freedomshowers.com,brand/retail,22,8457,0.04,14.2,9.8
contourliving.com,brand/retail,26,8455,0.04,15.2,9.7
vermontcountrystore.com,brand/retail,98,8421,0.04,19.9,18.9
allure.com,brand/retail,40,8414,0.04,12.9,20.6
puredown.com,brand/retail,31,8403,0.04,21.1,8.1
superteacherworksheets.com,brand/retail,10,8378,0.04,15.3,2.9
michaelsphotogifts.com,brand/retail,10,8343,0.04,14.5,2.4
quiltinaday.com,brand/retail,13,8292,0.04,19.1,3.8
theragcompany.com,brand/retail,2,8162,0.04,2.0,1.8
americanblanketcompany.com,brand/retail,92,8145,0.04,19.2,14.5
helixsleep.com,brand/retail,29,8141,0.04,17.9,9.8
nosleeplessnights.com,brand/retail,26,8137,0.04,9.6,8.8
teacherspayteachers.com,brand/retail,25,8121,0.04,11.6,10.2
teakworks4u.com,brand/retail,13,8121,0.04,8.5,8.2
rugsusa.com,brand/retail,46,8118,0.04,24.1,12.7
crochet365knittoo.com,brand/retail,19,8085,0.04,16.6,5.4
poshmark.com,brand/retail,463,8051,0.04,29.5,20.7
kanudausa.com,brand/retail,41,7958,0.04,22.4,8.2
paducah.travel,brand/retail,6,7922,0.04,7.5,3.7
wired.com,publisher,94,7917,0.04,34.8,7.9
blissy.com,brand/retail,54,7862,0.04,19.3,11.8
stringandstory.com,brand/retail,14,7848,0.04,6.7,9.1
quiltwoman.com,brand/retail,23,7837,0.04,16.2,7.5
